LAST SEEN   TYPE      REASON              OBJECT                                 MESSAGE
13m         Normal    Started             pod/web-deployment-76ddf5fcf9-vbm88    Container started
13m         Normal    Created             pod/web-deployment-76ddf5fcf9-vbm88    Container created
13m         Normal    Scheduled           pod/web-deployment-76ddf5fcf9-vbm88    Successfully assigned dso202-practical-01/web-deployment-76ddf5fcf9-vbm88 to worker-node-2
13m         Normal    Pulled              pod/web-deployment-76ddf5fcf9-vbm88    Container image "nginx:1.30-alpine" already present on machine and can be accessed by the pod
13m         Normal    SuccessfulDelete    replicaset/web-deployment-ddd46bfd     Deleted pod: web-deployment-ddd46bfd-rdbw6
13m         Normal    SuccessfulCreate    replicaset/web-deployment-76ddf5fcf9   Created pod: web-deployment-76ddf5fcf9-vbm88
13m         Normal    Killing             pod/web-deployment-ddd46bfd-rdbw6      Stopping container web
12m         Normal    Pulled              pod/web-deployment-76ddf5fcf9-spjcn    Container image "nginx:1.30-alpine" already present on machine and can be accessed by the pod
12m         Normal    Scheduled           pod/web-deployment-76ddf5fcf9-spjcn    Successfully assigned dso202-practical-01/web-deployment-76ddf5fcf9-spjcn to worker-node-1
12m         Normal    Started             pod/web-deployment-76ddf5fcf9-spjcn    Container started
12m         Normal    SuccessfulDelete    replicaset/web-deployment-ddd46bfd     Deleted pod: web-deployment-ddd46bfd-fp99l
12m         Normal    SuccessfulCreate    replicaset/web-deployment-76ddf5fcf9   Created pod: web-deployment-76ddf5fcf9-spjcn
12m         Normal    Created             pod/web-deployment-76ddf5fcf9-spjcn    Container created
12m         Normal    Killing             pod/web-deployment-ddd46bfd-fp99l      Stopping container web
12m         Normal    Pulled              pod/web-deployment-76ddf5fcf9-x7cxb    Container image "nginx:1.30-alpine" already present on machine and can be accessed by the pod
12m         Normal    Created             pod/web-deployment-76ddf5fcf9-x7cxb    Container created
12m         Normal    Killing             pod/web-deployment-ddd46bfd-fdfgf      Stopping container web
12m         Normal    Scheduled           pod/web-deployment-76ddf5fcf9-x7cxb    Successfully assigned dso202-practical-01/web-deployment-76ddf5fcf9-x7cxb to worker-node-2
12m         Normal    SuccessfulDelete    replicaset/web-deployment-ddd46bfd     Deleted pod: web-deployment-ddd46bfd-fdfgf
12m         Normal    SuccessfulCreate    replicaset/web-deployment-76ddf5fcf9   Created pod: web-deployment-76ddf5fcf9-x7cxb
12m         Normal    Started             pod/web-deployment-76ddf5fcf9-x7cxb    Container started
12m         Normal    Started             pod/web-deployment-76ddf5fcf9-hth4k    Container started
12m         Normal    Created             pod/web-deployment-76ddf5fcf9-hth4k    Container created
12m         Normal    Scheduled           pod/web-deployment-76ddf5fcf9-hth4k    Successfully assigned dso202-practical-01/web-deployment-76ddf5fcf9-hth4k to worker-node-1
12m         Normal    SuccessfulCreate    replicaset/web-deployment-76ddf5fcf9   Created pod: web-deployment-76ddf5fcf9-hth4k
12m         Normal    Pulled              pod/web-deployment-76ddf5fcf9-hth4k    Container image "nginx:1.30-alpine" already present on machine and can be accessed by the pod
12m         Normal    SuccessfulDelete    replicaset/web-deployment-ddd46bfd     Deleted pod: web-deployment-ddd46bfd-pzmch
12m         Normal    Killing             pod/web-deployment-ddd46bfd-pzmch      Stopping container web
12m         Normal    SuccessfulDelete    replicaset/web-deployment-ddd46bfd     Deleted pod: web-deployment-ddd46bfd-klsqz
12m         Normal    Killing             pod/web-deployment-ddd46bfd-klsqz      Stopping container web
11m         Normal    SuccessfulCreate    replicaset/web-deployment-67499b7844   Created pod: web-deployment-67499b7844-d9hkf
11m         Normal    Scheduled           pod/web-deployment-67499b7844-d9hkf    Successfully assigned dso202-practical-01/web-deployment-67499b7844-d9hkf to worker-node-1
10m         Normal    Pulling             pod/web-deployment-67499b7844-d9hkf    Pulling image "nginx:9.99-does-not-exist"
10m         Warning   Failed              pod/web-deployment-67499b7844-d9hkf    Failed to pull image "nginx:9.99-does-not-exist": rpc error: code = NotFound desc = failed to pull and unpack image "docker.io/library/nginx:9.99-does-not-exist": failed to resolve reference "docker.io/library/nginx:9.99-does-not-exist": docker.io/library/nginx:9.99-does-not-exist: not found
10m         Warning   Failed              pod/web-deployment-67499b7844-d9hkf    Error: ErrImagePull
9m58s       Warning   Failed              pod/web-deployment-67499b7844-d9hkf    Error: ImagePullBackOff
9m58s       Normal    BackOff             pod/web-deployment-67499b7844-d9hkf    Back-off pulling image "nginx:9.99-does-not-exist"
9m51s       Normal    SuccessfulDelete    replicaset/web-deployment-67499b7844   Deleted pod: web-deployment-67499b7844-d9hkf
8m45s       Normal    Killing             pod/web-deployment-76ddf5fcf9-spjcn    Stopping container web
8m45s       Normal    ScalingReplicaSet   deployment/web-deployment              (combined from similar events): Scaled down replica set web-deployment-76ddf5fcf9 from 5 to 3
8m45s       Normal    SuccessfulDelete    replicaset/web-deployment-76ddf5fcf9   Deleted pod: web-deployment-76ddf5fcf9-nvnkj
8m45s       Normal    Killing             pod/web-deployment-76ddf5fcf9-nvnkj    Stopping container web
8m45s       Normal    SuccessfulDelete    replicaset/web-deployment-76ddf5fcf9   Deleted pod: web-deployment-76ddf5fcf9-spjcn
